LSOA_code,LSOA_name,LAD_code,LAD_name,ITL1_code,Transaction,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E01013811,Nottingham 018B,E06000018,Nottingham,TLF,Gross_Disposable_Household_Income,12.763,13.275,13.330,13.620,13.921,14.722,15.089,15.518,16.018,15.639,16.885,17.899,19.261,19.826,20.163,21.737,22.260,22.974,23.418,22.592
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,Operating_surplus,1.551,1.590,1.525,1.638,1.701,1.558,1.597,1.439,1.268,1.259,1.397,1.352,1.515,1.586,1.723,1.754,1.911,1.944,2.061,2.173
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,Mixed_income,0.600,0.633,0.620,0.654,0.699,0.718,0.719,0.764,0.861,0.905,1.067,1.156,1.418,1.738,1.987,2.118,2.091,2.221,2.280,2.409
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,Compensation_of_employees,7.466,8.340,8.095,8.544,9.100,9.568,9.873,9.629,10.278,10.575,10.821,11.701,11.876,13.014,13.606,14.337,14.680,15.390,15.407,15.934
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,"Property_income,_received",1.057,1.021,1.052,1.181,1.181,1.369,1.228,0.992,1.073,1.125,1.066,1.116,1.170,1.420,1.274,1.185,1.164,1.254,1.032,1.337
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,Primary_resources_total,10.675,11.584,11.291,12.017,12.681,13.213,13.417,12.824,13.480,13.864,14.350,15.326,15.978,17.758,18.589,19.394,19.844,20.809,20.779,21.854
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,"Property_income,_paid",0.517,0.577,0.671,0.828,0.998,0.973,1.095,0.449,0.286,0.292,0.316,0.304,0.312,0.319,0.332,0.289,0.444,0.354,0.216,0.265
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,Primary_uses_total,0.517,0.577,0.671,0.828,0.998,0.973,1.095,0.449,0.286,0.292,0.316,0.304,0.312,0.319,0.332,0.289,0.444,0.354,0.216,0.265
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,Balance_of_primary_incomes,10.159,11.007,10.621,11.190,11.683,12.240,12.322,12.375,13.194,13.572,14.035,15.022,15.666,17.440,18.257,19.104,19.400,20.454,20.564,21.588
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,Imputed_social_contributions/Social_benefits_received,3.910,4.392,4.314,4.503,4.723,4.924,4.905,5.545,6.097,6.740,6.863,7.433,7.487,7.788,7.902,8.456,9.474,8.765,8.445,5.763
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,"Other_current_transfers,_received",0.308,0.348,0.341,0.370,0.264,0.415,0.381,0.329,0.301,0.426,0.536,0.478,0.530,0.522,0.498,0.515,0.573,0.590,0.565,0.470
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,Secondary_resources_total,4.218,4.741,4.655,4.873,4.986,5.339,5.286,5.874,6.398,7.166,7.399,7.910,8.017,8.310,8.400,8.970,10.047,9.356,9.010,6.233
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,"Current_taxes_on_income,_wealth_etc",1.318,1.493,1.402,1.484,1.585,1.713,1.749,1.752,1.893,1.945,1.904,1.926,1.831,1.990,2.105,1.913,1.871,1.999,1.893,2.226
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,Social_contributions/Social_benefits_paid,1.329,1.343,1.400,1.545,1.580,1.667,1.536,1.366,1.553,1.671,1.528,1.647,0.840,2.029,1.523,1.711,1.600,1.527,1.511,1.836
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,"Other_current_transfers,_paid",0.446,0.528,0.537,0.583,0.483,0.622,0.603,0.601,0.627,0.703,0.750,0.744,0.808,0.818,0.819,0.835,0.831,0.862,0.854,0.802
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,Secondary_uses_total,3.093,3.363,3.338,3.611,3.648,4.002,3.887,3.720,4.073,4.320,4.183,4.317,3.479,4.837,4.447,4.459,4.303,4.388,4.257,4.863
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,Balance_of_secondary_income,1.126,1.378,1.316,1.262,1.338,1.337,1.398,2.154,2.325,2.846,3.217,3.593,4.538,3.473,3.953,4.511,5.744,4.967,4.753,1.369
E01013812,Nottingham 018C,E06000018,Nottingham,TLF,Gross_Disposable_Household_Income,11.284,12.384,11.937,12.452,13.021,13.577,13.720,14.529,15.519,16.418,17.251,18.614,20.204,20.912,22.210,23.615,25.144,25.422,25.316,22.957
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,Operating_surplus,1.477,1.564,1.501,1.612,1.948,1.784,1.829,1.740,1.510,1.499,1.659,1.627,2.083,2.205,2.422,2.467,2.687,2.734,2.898,3.056
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,Mixed_income,0.371,0.389,0.415,0.470,0.557,0.598,0.630,0.702,0.768,0.810,1.032,0.875,1.150,1.191,1.395,1.532,1.754,1.932,1.973,2.083
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,Compensation_of_employees,2.971,3.056,3.416,4.458,4.889,5.510,5.721,5.492,5.517,5.386,5.826,6.494,9.130,10.008,9.997,9.576,9.683,10.340,10.711,10.899
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,"Property_income,_received",0.537,0.478,0.566,0.785,0.809,1.005,0.945,0.751,0.764,0.759,0.760,0.821,1.193,1.489,1.120,1.134,1.010,1.030,0.942,1.186
